,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
99,18.993774473667145,0.06689876245780542,2.6902636289596558,0.00454861837750417,18,9,9,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8960317460317461,0.8973214285714286,0.8966468253968254,0.8954761904761904,0.8963690476190477,0.0006883233634405638,1
102,14.518317520618439,0.09184175879071792,2.033532440662384,0.018364628737667615,18,9,10,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8958333333333334,0.8975,0.8959920634920635,0.8949206349206349,0.896061507936508,0.0009257074099674894,2
103,19.360840916633606,0.1427967793979397,2.8130615949630737,0.03530693118055012,18,9,10,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8949206349206349,0.8973214285714286,0.8967460317460317,0.8951984126984127,0.896046626984127,0.0010126218086604088,3
86,16.793839037418365,0.08659136303686366,2.0483056902885437,0.014109844019173019,18,8,9,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8948015873015873,0.8974801587301587,0.8968055555555555,0.8950396825396826,0.8960317460317461,0.0011395351023259744,4
54,14.979623913764954,0.1015185393345032,1.9710556268692017,0.012878287669552221,16,8,10,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8953769841269841,0.8969444444444444,0.896765873015873,0.8949404761904762,0.8960069444444445,0.0008644482871790662,5
59,18.651009917259216,0.10254286074762906,2.580307126045227,0.010347302372494137,16,8,11,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8948214285714285,0.8976388888888889,0.8963690476190476,0.8950396825396826,0.895967261904762,0.001132376487808303,6
67,20.19853138923645,0.09661890397966322,2.661657691001892,0.0248522351086795,16,9,10,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8953968253968254,0.8968452380952381,0.8960119047619047,0.8955952380952381,0.8959623015873015,0.0005559982646508633,7
91,20.268754184246063,0.037389495468414115,2.698276162147522,0.008079400843506857,18,8,10,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8951587301587302,0.8971825396825397,0.8964880952380953,0.8948611111111111,0.895922619047619,0.0009509848398018202,8
46,14.141575872898102,0.13332042944437977,1.9374863505363464,0.00580039594330156,16,7,11,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.8953769841269841,0.8972619047619048,0.8962301587301588,0.8948015873015873,0.8959176587301587,0.0009277119844079599,9
107,20.130666494369507,0.02929563690610749,2.6887673139572144,0.03818316130466884,18,9,11,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8954166666666666,0.8970039682539682,0.8961309523809524,0.8950198412698412,0.8958928571428572,0.0007550118091444647,10
63,19.374584019184113,0.19788484146913288,2.734317898750305,0.028327399018566325,16,9,9,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8952976190476191,0.8971031746031746,0.8961706349206349,0.8949801587301587,0.8958878968253968,0.000826023185531749,11
27,19.50394642353058,0.02793569376968056,2.49981689453125,0.02606066624406353,14,9,9,400,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8954563492063492,0.8974007936507936,0.8959325396825397,0.8947222222222222,0.8958779761904762,0.000979219937117379,12
75,28.874649465084076,0.1562286714971221,3.1489025354385376,0.02746889097654744,18,7,9,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8954960317460318,0.8967460317460317,0.8959722222222222,0.8952777777777777,0.8958730158730158,0.0005631216645364475,13
42,14.074648797512054,0.06864982487169385,1.9447885155677795,0.015047501274393405,16,7,10,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8955357142857143,0.8966071428571428,0.89625,0.895079365079365,0.8958680555555556,0.0005967861813251962,14
82,14.730670273303986,0.17674858598487006,2.063303232192993,0.022555079306815287,18,7,11,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.8959126984126984,0.8969246031746032,0.8959126984126984,0.8947222222222222,0.8958680555555555,0.0007799379572249399,15
87,20.034477949142456,0.17327239994856805,2.868011474609375,0.031873796785765615,18,8,9,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8953373015873016,0.896765873015873,0.8965277777777778,0.8948214285714285,0.8958630952380953,0.0008090641201826239,16
50,15.308187365531921,0.10291601161681342,1.9712462425231934,0.018140067946558116,16,8,9,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8953769841269841,0.8973412698412698,0.8957936507936508,0.8948809523809523,0.8958482142857143,0.0009205766564417723,17
98,14.878160297870636,0.07951308396695465,2.0277493596076965,0.037043201690879546,18,9,9,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8952777777777777,0.896686507936508,0.8966269841269842,0.8947619047619048,0.8958382936507937,0.0008387924692302764,18
71,19.280685782432556,0.06868536803934777,2.811664640903473,0.04011800253396848,16,9,11,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8949007936507937,0.8968849206349206,0.8956349206349207,0.895813492063492,0.8958085317460318,0.0007093600835119744,19
55,19.267649471759796,0.08105363530227845,2.7280633449554443,0.040260670615050245,16,8,10,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8951984126984127,0.8970833333333333,0.895952380952381,0.8949206349206349,0.8957886904761905,0.0008373832757488758,20
43,18.672003090381622,0.045503781993548875,2.5697633624076843,0.028484210515526538,16,7,10,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8947420634920635,0.8970238095238096,0.8965079365079365,0.8948214285714285,0.8957738095238095,0.001009080247218366,21
79,19.60750675201416,0.05101265251005936,2.8271931409835815,0.020195623533353416,18,7,10,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8952579365079365,0.8970039682539682,0.8960912698412699,0.8947222222222222,0.8957688492063492,0.0008639927599401636,22
94,15.036652743816376,0.11177441434006087,2.0702078342437744,0.011331812147654281,18,8,11,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.895436507936508,0.896686507936508,0.8961507936507936,0.8948015873015873,0.8957688492063491,0.0007130963146240833,23
70,14.813904583454132,0.06325209983759465,2.0003950595855713,0.03415197903268605,16,9,11,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.895813492063492,0.8960317460317461,0.8962103174603174,0.8949404761904762,0.895749007936508,0.0004875010498014871,24
62,14.07819950580597,0.09828054506694783,1.9541165232658386,0.014952041370716098,16,9,9,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8953571428571429,0.8970436507936508,0.8961309523809524,0.8944642857142857,0.8957490079365079,0.0009521096463761945,25
81,5.066114962100983,0.033635612174457034,0.6927388310432434,0.01442456754701063,18,7,11,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 100}",0.8950396825396826,0.896984126984127,0.8958531746031746,0.8949206349206349,0.8956994047619049,0.000823995180283394,26
89,5.378473937511444,0.08396387973012558,0.7602220773696899,0.024248582868575338,18,8,10,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.8953174603174603,0.8971031746031746,0.8955555555555555,0.8947619047619048,0.8956845238095238,0.0008682114372508724,27
18,13.812298953533173,0.05965147135105384,1.790861964225769,0.012196114164695286,14,8,10,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.894265873015873,0.8965873015873016,0.8969444444444444,0.8948015873015873,0.8956498015873016,0.0011390491805511637,28
47,19.100749611854553,0.09592541727686904,2.7100502848625183,0.026919949908833164,16,7,11,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8950198412698412,0.8968452380952381,0.8964087301587301,0.8943253968253968,0.8956498015873016,0.0010193060134190298,28
49,5.145564436912537,0.03781857697246508,0.6817266345024109,0.019626897270538513,16,8,9,100,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 100}",0.8949801587301587,0.8965674603174603,0.8958333333333334,0.8951984126984127,0.8956448412698412,0.0006180324653639814,30
95,19.676526129245758,0.11035595318732191,2.7268186211586,0.01990663451874561,18,8,11,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8952579365079365,0.896686507936508,0.8960714285714285,0.8945634920634921,0.8956448412698412,0.0008040611872203211,30
106,14.564830303192139,0.07689343090239419,2.055395245552063,0.02481010733897099,18,9,11,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.8948611111111111,0.8970833333333333,0.8963293650793651,0.8942857142857142,0.8956398809523809,0.0011179437557657962,32
51,20.06275188922882,0.06765146157378839,2.6687285900115967,0.010655701605699498,16,8,9,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8952380952380953,0.8968055555555555,0.8960912698412699,0.8944246031746032,0.8956398809523809,0.0008945503125681576,32
83,20.103857040405273,0.059565049499854916,2.9563413858413696,0.013102807321854442,18,7,11,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8954960317460318,0.896686507936508,0.8957936507936508,0.8945634920634921,0.8956349206349206,0.0007580040275751268,34
11,18.35972249507904,0.08515914462205584,2.3950924277305603,0.01420386362232646,14,7,11,400,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8949801587301587,0.8962896825396826,0.8961706349206349,0.895079365079365,0.8956299603174602,0.0006026938808559311,35
78,15.362959742546082,0.10809321206592762,2.0394933819770813,0.009525262801527466,18,7,10,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8948809523809523,0.8965873015873016,0.8960714285714285,0.8949603174603175,0.895625,0.0007281367578072517,36
39,18.964901447296143,0.04655963380165978,2.5979639887809753,0.0056246636796520744,16,7,9,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.895515873015873,0.8964285714285715,0.8963095238095238,0.8942063492063492,0.8956150793650793,0.0008857743764106975,37
21,4.764767289161682,0.033785058415311035,0.6267688870429993,0.013598511247707393,14,8,11,100,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 100}",0.8948611111111111,0.8968253968253969,0.8962301587301588,0.8945238095238095,0.8956101190476191,0.0009490034978275556,38
38,13.935470700263977,0.06745497405785808,1.9099560976028442,0.013048167363464001,16,7,9,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8949007936507937,0.8969642857142858,0.8954166666666666,0.8950992063492064,0.8955952380952381,0.0008115540212784929,39
41,5.0662330985069275,0.004189784310120991,0.6670543551445007,0.007246070293157606,16,7,10,100,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.8951190476190476,0.8967857142857143,0.8957738095238095,0.8946230158730158,0.8955753968253968,0.0008092465678386279,40
97,5.0068469643592834,0.06699264665031018,0.6907958388328552,0.006310447571659093,18,9,9,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 100}",0.8946428571428572,0.8969642857142858,0.8959325396825397,0.8946626984126984,0.8955505952380953,0.0009691170650661858,41
74,22.43620651960373,0.13144561865639925,2.5358538031578064,0.013902653181313639,18,7,9,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8954166666666666,0.8966269841269842,0.8955753968253968,0.8943650793650794,0.8954960317460318,0.0008016707877316362,42
101,5.006309509277344,0.04480174688088193,0.6904159784317017,0.010076675065067047,18,9,10,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.8951785714285714,0.8962301587301588,0.895952380952381,0.8945833333333333,0.8954861111111111,0.0006481903263460484,43
93,5.063842952251434,0.04094357464171415,0.6901233792304993,0.0102441534965033,18,8,11,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 100}",0.8945039682539683,0.8968452380952381,0.8964285714285715,0.8941071428571429,0.8954712301587302,0.0011832930612577963,44
66,14.331140279769897,0.07581615883248621,1.9729366302490234,0.01059609597634936,16,9,10,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8950396825396826,0.8965079365079365,0.8960714285714285,0.8942261904761905,0.8954613095238095,0.0008903597126591047,45
90,15.666902542114258,0.1322080163052022,2.1558411717414856,0.019069168626106203,18,8,10,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8950396825396826,0.8963293650793651,0.8957142857142857,0.894702380952381,0.8954464285714286,0.0006265727251840499,46
17,4.798223495483398,0.031054054804341213,0.6256495118141174,0.004809387982247731,14,8,10,100,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.8951785714285714,0.8968452380952381,0.8958531746031746,0.8939087301587302,0.8954464285714285,0.0010675174794395762,47
58,14.315527081489563,0.07959445037192943,1.9545459747314453,0.015316505965201328,16,8,11,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.8955952380952381,0.8959722222222222,0.895734126984127,0.8944246031746032,0.8954315476190476,0.000596786181325201,48
85,5.870900750160217,0.08262313009913973,0.7422168254852295,0.01256331755458446,18,8,9,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 100}",0.8947222222222222,0.896686507936508,0.8958928571428572,0.8944246031746032,0.8954315476190475,0.0009089570270283184,49
6,14.395168483257294,0.04803234358472056,1.8476184010505676,0.00973064986864712,14,7,10,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.895079365079365,0.896686507936508,0.8960912698412699,0.8938095238095238,0.8954166666666666,0.0010913600251335781,50
73,7.141590058803558,0.1747397445586365,0.8610820770263672,0.01953541520385554,18,7,9,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 100}",0.8944642857142857,0.8966071428571428,0.8960119047619047,0.8944841269841269,0.8953918650793651,0.000941506932150781,51
105,4.9769686460494995,0.04690959632266036,0.6873579621315002,0.007052147192448472,18,9,11,100,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 100}",0.8946825396825396,0.8969246031746032,0.8954960317460318,0.8943055555555556,0.8953521825396825,0.0010046204317199648,52
26,15.16974276304245,0.06575030336400256,1.853208303451538,0.023696079641117095,14,9,9,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8952976190476191,0.8963492063492063,0.8951190476190476,0.8946031746031746,0.895342261904762,0.0006348237463276538,53
